Wavelength [A],flux (measured at 1 au) [erg/cm^2/s/A]
4.26,1.14085e+00
4.27,1.14858e+00
4.28,1.15651e+00
4.29,1.56512e+00
4.30,4.92722e+00
4.31,1.39205e+00
4.32,1.18774e+00
4.33,1.19558e+00
4.34,1.20362e+00
4.35,1.22841e+00
4.36,1.31991e+00
4.37,1.28919e+00
4.38,1.65480e+00
4.39,2.02542e+00
4.40,1.28036e+00
4.41,1.31370e+00
4.42,1.29272e+00
4.43,1.28966e+00
4.44,1.28751e+00
4.45,1.28885e+00
4.46,1.29668e+00
4.47,1.30450e+00
4.48,1.31235e+00
4.49,1.32018e+00
4.50,1.32803e+00
4.51,1.33587e+00
4.52,1.34373e+00
4.53,1.35158e+00
4.54,1.35944e+00
4.55,1.36730e+00
4.56,1.37517e+00
4.57,1.38305e+00
4.58,1.39096e+00
4.59,1.39883e+00
4.60,1.40672e+00
4.61,1.41465e+00
4.62,1.42245e+00
4.63,1.43032e+00
4.64,1.43367e+00
4.65,1.44135e+00
4.66,1.44915e+00
4.67,1.45704e+00
4.68,1.46496e+00
4.69,1.47287e+00
4.70,1.48115e+00
4.71,1.49190e+00
4.72,1.70836e+00
4.73,2.27613e+00
4.74,1.66028e+00
4.75,1.53406e+00
4.76,1.57011e+00
4.77,1.57807e+00
4.78,1.62822e+00
4.79,1.61372e+00
4.80,1.56093e+00
4.81,1.56917e+00
4.82,1.58369e+00
4.83,1.67868e+00
4.84,1.64842e+00
4.85,1.63179e+00
4.86,1.60702e+00
4.87,1.61450e+00
4.88,1.62299e+00
4.89,1.63043e+00
4.90,1.63798e+00
4.91,1.64611e+00
4.92,1.65401e+00
4.93,1.66266e+00
4.94,1.75565e+00
4.95,1.85902e+00
4.96,1.69230e+00
4.97,1.69385e+00
4.98,1.70138e+00
4.99,1.71043e+00
5.00,1.72115e+00
5.01,1.72517e+00
5.02,1.76939e+00
5.03,8.73174e+00
5.04,3.45362e+01
5.05,9.14012e+00
5.06,8.92268e+00
5.07,8.83756e+00
5.08,2.60275e+00
5.09,5.96024e+00
5.10,2.42092e+01
5.11,7.12870e+00
5.12,1.84501e+00
5.13,2.16812e+00
5.14,1.93028e+00
5.15,1.80857e+00
5.16,1.82161e+00
5.17,1.82616e+00
5.18,1.84098e+00
5.19,1.85546e+00
5.20,1.86639e+00
5.21,2.24044e+00
5.22,2.52028e+00
5.23,1.91837e+00
5.24,1.88011e+00
5.25,1.88790e+00
5.26,1.89598e+00
5.27,1.91488e+00
5.28,2.39399e+00
5.29,2.52050e+00
5.30,1.95516e+00
5.31,1.94912e+00
5.32,1.95329e+00
5.33,1.96452e+00
5.34,1.97360e+00
5.35,1.98152e+00
5.36,2.00204e+00
5.37,1.99173e+00
5.38,1.99344e+00
